Date,Influent_tot,Inflow_lane1,COD_in,Ntot_in,NH4_in
-,m^3/d,m^3/d,gCOD/m^3,gN/m^3,gNH4-N/m^3
07.03.2014 12:00:00,73356,12282,,,
08.03.2014 12:00:00,68909,11558,,,
09.03.2014 12:00:00,66103,11091,,,
10.03.2014 12:00:00,72904,12161,,,
11.03.2014 12:00:00,71786,12057,246,39.9,32.2
12.03.2014 12:00:00,68633,11502,,,
13.03.2014 12:00:00,67749,11329,,,
14.03.2014 12:00:00,65352,10932,267,40.3,32.4
15.03.2014 12:00:00,61177,10193,,,
16.03.2014 12:00:00,59707,9936,,,
17.03.2014 12:00:00,66797,11267,,,
18.03.2014 12:00:00,64521,10902,,,
19.03.2014 12:00:00,63550,10744,287,38.1,31.6
20.03.2014 12:00:00,63448,10689,,,
21.03.2014 12:00:00,63703,10687,,,
22.03.2014 12:00:00,116678,19525,,,
23.03.2014 12:00:00,114113,19046,,,
24.03.2014 12:00:00,72634,12990,,,
25.03.2014 12:00:00,67940,12025,277,37.5,30.4
26.03.2014 12:00:00,66959,11784,,,
27.03.2014 12:00:00,66326,11807,,,
28.03.2014 12:00:00,65079,11420,,,
29.03.2014 12:00:00,59729,10430,,,
30.03.2014 12:00:00,58885,10431,239,35.5,27.9
31.03.2014 12:00:00,69124,13731,,,
01.04.2014 12:00:00,65265,11849,,,
02.04.2014 12:00:00,65258,11851,,,
03.04.2014 12:00:00,64014,11266,,,
04.04.2014 12:00:00,63833,11146,274,45.7,36.4
05.04.2014 12:00:00,89082,16261,,,
06.04.2014 12:00:00,81241,14750,,,
07.04.2014 12:00:00,69740,12429,253,42.1,32.1
08.04.2014 12:00:00,100719,18587,,,
09.04.2014 12:00:00,70428,12628,,,
10.04.2014 12:00:00,68715,12253,,,
11.04.2014 12:00:00,67871,12033,,,
12.04.2014 12:00:00,64164,11282,,,
13.04.2014 12:00:00,60975,10560,,,
14.04.2014 12:00:00,77091,13914,244,37.3,30.2
15.04.2014 12:00:00,69303,12243,,,
16.04.2014 12:00:00,66741,11879,,,
17.04.2014 12:00:00,64737,11348,,,
18.04.2014 12:00:00,95292,17363,,,
19.04.2014 12:00:00,68908,12149,,,
20.04.2014 12:00:00,58027,10321,,,
21.04.2014 12:00:00,61084,10993,,,
22.04.2014 12:00:00,64122,11194,258,40.5,32.2
23.04.2014 12:00:00,93844,17088,,,
24.04.2014 12:00:00,71587,12685,,,
25.04.2014 12:00:00,101760,18626,,,
26.04.2014 12:00:00,116520,21634,,,
27.04.2014 12:00:00,162814,31405,,,
28.04.2014 12:00:00,155320,33562,,,
29.04.2014 12:00:00,128065,24599,,,
30.04.2014 12:00:00,109893,19794,159,26.4,18.3
01.05.2014 12:00:00,104041,18562,,,
02.05.2014 12:00:00,154206,30110,,,
03.05.2014 12:00:00,145856,32413,,,
04.05.2014 12:00:00,119666,23175,135,20.8,15.8
05.05.2014 12:00:00,103454,19078,,,
06.05.2014 12:00:00,95304,16901,,,
07.05.2014 12:00:00,124043,23574,,,
08.05.2014 12:00:00,91942,16397,,,
09.05.2014 12:00:00,87161,15334,198,32.2,24.5
10.05.2014 12:00:00,87187,15251,,,
11.05.2014 12:00:00,133106,25587,,,
12.05.2014 12:00:00,102236,18697,,,
13.05.2014 12:00:00,123200,23120,150,23.4,17.6
14.05.2014 12:00:00,143260,27762,,,
15.05.2014 12:00:00,134054,25463,,,
16.05.2014 12:00:00,100071,17921,,,
17.05.2014 12:00:00,89091,15599,,,
18.05.2014 12:00:00,81644,14162,,,
19.05.2014 12:00:00,84659,14715,,,
20.05.2014 12:00:00,81155,13950,,,
21.05.2014 12:00:00,81061,13897,221,35.1,27.4
22.05.2014 12:00:00,106103,19445,,,
23.05.2014 12:00:00,116282,20228,,,
24.05.2014 12:00:00,100690,16919,152,27.7,21.1
25.05.2014 12:00:00,82601,13741,,,
26.05.2014 12:00:00,101125,17041,,,
27.05.2014 12:00:00,141862,24008,,,
28.05.2014 12:00:00,91143,15261,,,
29.05.2014 12:00:00,97813,16251,,,
30.05.2014 12:00:00,107929,18075,,,
31.05.2014 12:00:00,79733,13244,,,
01.06.2014 12:00:00,74960,12602,153,33.1,26.9
02.06.2014 12:00:00,101893,17551,,,
03.06.2014 12:00:00,80243,13354,,,
04.06.2014 12:00:00,102420,17238,,,
05.06.2014 12:00:00,78930,13084,216,33.2,27.1
06.06.2014 12:00:00,77577,12845,,,
07.06.2014 12:00:00,71831,11962,,,
08.06.2014 12:00:00,68228,11319,,,
09.06.2014 12:00:00,88995,14934,175,30.9,24.2
10.06.2014 12:00:00,85251,20537,,,
11.06.2014 12:00:00,79826,16002,,,
12.06.2014 12:00:00,122428,20472,,,
13.06.2014 12:00:00,110084,18239,173,24.7,18.5
14.06.2014 12:00:00,88256,14595,,,
15.06.2014 12:00:00,80389,13405,,,
16.06.2014 12:00:00,82995,16278,,,
17.06.2014 12:00:00,94804,18910,205,29.9,23.7
18.06.2014 12:00:00,81419,13905,,,
19.06.2014 12:00:00,79050,13155,,,
20.06.2014 12:00:00,72842,11971,,,
21.06.2014 12:00:00,70501,11712,,,
22.06.2014 12:00:00,80601,13441,198,31.9,25.6
23.06.2014 12:00:00,137301,22878,,,
24.06.2014 12:00:00,152698,25226,,,
25.06.2014 12:00:00,95329,16008,,,
26.06.2014 12:00:00,92133,15417,,,
27.06.2014 12:00:00,84764,13976,,,
28.06.2014 12:00:00,100850,16974,153,28.4,23.7
29.06.2014 12:00:00,131278,21903,,,
30.06.2014 12:00:00,125665,21104,,,
01.07.2014 12:00:00,92170,15446,,,
02.07.2014 12:00:00,142235,23670,,,
03.07.2014 12:00:00,97879,16282,160,27.3,21.4
04.07.2014 12:00:00,118560,19921,,,
05.07.2014 12:00:00,94482,15708,,,
06.07.2014 12:00:00,118586,19730,,,
07.07.2014 12:00:00,133121,22216,,,
08.07.2014 12:00:00,189264,31484,90,12.8,8.6
09.07.2014 12:00:00,171268,28592,,,
10.07.2014 12:00:00,189701,31639,,,
11.07.2014 12:00:00,200210,33298,,,
12.07.2014 12:00:00,201681,33558,,,
13.07.2014 12:00:00,201501,33560,77,9,4.6
14.07.2014 12:00:00,201570,33540,,,
15.07.2014 12:00:00,196656,32755,,,
16.07.2014 12:00:00,170325,28479,,,
17.07.2014 12:00:00,126063,20878,,,
18.07.2014 12:00:00,109252,18151,,,
19.07.2014 12:00:00,99242,16652,,,
20.07.2014 12:00:00,134968,22544,,,
21.07.2014 12:00:00,167550,27872,,,
22.07.2014 12:00:00,202513,33749,,,
23.07.2014 12:00:00,188722,31477,84,12.8,8.1
24.07.2014 12:00:00,152694,25613,,,
25.07.2014 12:00:00,134675,22441,,,
26.07.2014 12:00:00,168220,28000,,,
27.07.2014 12:00:00,145014,24271,,,
28.07.2014 12:00:00,177450,29658,84,13.2,9.5
29.07.2014 12:00:00,190998,31809,,,
30.07.2014 12:00:00,190285,31798,,,
31.07.2014 12:00:00,190360,31754,,,
01.08.2014 12:00:00,164086,27361,,,
02.08.2014 12:00:00,162676,27164,81,13.6,10.7
03.08.2014 12:00:00,148308,24727,,,
04.08.2014 12:00:00,140954,23356,,,
05.08.2014 12:00:00,143668,23969,103,15.8,11.7
06.08.2014 12:00:00,122698,20494,,,
07.08.2014 12:00:00,121863,20300,,,
08.08.2014 12:00:00,106597,17781,,,
09.08.2014 12:00:00,93855,15787,,,
10.08.2014 12:00:00,121973,20400,,,
11.08.2014 12:00:00,203916,34007,,,
12.08.2014 12:00:00,167618,28004,140,14.5,9.6
13.08.2014 12:00:00,131355,21943,,,
14.08.2014 12:00:00,115520,19360,,,
15.08.2014 12:00:00,146654,24501,,,
16.08.2014 12:00:00,121236,20216,,,
17.08.2014 12:00:00,99054,16599,118,25.6,18.5
18.08.2014 12:00:00,103024,17210,,,
19.08.2014 12:00:00,110536,18559,,,
20.08.2014 12:00:00,105440,17618,,,
21.08.2014 12:00:00,86017,14389,,,
22.08.2014 12:00:00,82343,13685,170,28,22.4
23.08.2014 12:00:00,89262,15047,,,
24.08.2014 12:00:00,97531,16270,,,
25.08.2014 12:00:00,82819,13879,,,
26.08.2014 12:00:00,146427,24385,,,
27.08.2014 12:00:00,100858,16920,166,28.5,21.8
28.08.2014 12:00:00,86150,14444,,,
29.08.2014 12:00:00,151330,25217,,,
30.08.2014 12:00:00,172053,28698,,,
31.08.2014 12:00:00,170876,28442,,,
01.09.2014 12:00:00,185396,30825,,,
02.09.2014 12:00:00,143444,23887,128,20.4,12.2
03.09.2014 12:00:00,123569,20629,,,
04.09.2014 12:00:00,113667,19169,,,
05.09.2014 12:00:00,105367,17654,,,
06.09.2014 12:00:00,94804,15992,136,25.9,20.6
07.09.2014 12:00:00,87110,14507,,,
08.09.2014 12:00:00,91903,15388,,,
09.09.2014 12:00:00,87706,14696,,,
10.09.2014 12:00:00,90778,15204,,,
11.09.2014 12:00:00,89413,15016,182,30,22.2
12.09.2014 12:00:00,83091,15197,,,
13.09.2014 12:00:00,74713,13434,,,
14.09.2014 12:00:00,71708,12881,,,
15.09.2014 12:00:00,79166,13556,,,
16.09.2014 12:00:00,75889,12794,234,37.5,28.3
17.09.2014 12:00:00,74914,12471,,,
18.09.2014 12:00:00,73235,12282,,,
19.09.2014 12:00:00,72505,12182,,,
20.09.2014 12:00:00,80337,13420,,,
21.09.2014 12:00:00,163260,27198,,,
22.09.2014 12:00:00,147011,24533,,,
23.09.2014 12:00:00,95801,15484,165,28.7,21
24.09.2014 12:00:00,121857,20332,,,
25.09.2014 12:00:00,98856,16707,,,
26.09.2014 12:00:00,83029,13890,186,27.8,21.8
27.09.2014 12:00:00,75101,12715,,,
28.09.2014 12:00:00,69633,11702,,,
29.09.2014 12:00:00,73327,12117,,,
30.09.2014 12:00:00,82092,13733,208,31.5,25.1
01.10.2014 12:00:00,104223,17516,,,
02.10.2014 12:00:00,72939,12316,,,
03.10.2014 12:00:00,70949,11913,,,
04.10.2014 12:00:00,89110,14877,,,
05.10.2014 12:00:00,116198,19517,,,
06.10.2014 12:00:00,84959,14199,192,28.6,21.2
07.10.2014 12:00:00,105568,17632,,,
08.10.2014 12:00:00,87314,14683,,,
09.10.2014 12:00:00,73191,12270,,,
10.10.2014 12:00:00,71298,11864,,,
11.10.2014 12:00:00,94995,15832,159,29.2,22.7
12.10.2014 12:00:00,71719,11902,,,
13.10.2014 12:00:00,145095,24209,,,
14.10.2014 12:00:00,97361,16374,,,
15.10.2014 12:00:00,99672,16686,,,
16.10.2014 12:00:00,81899,13692,,,
17.10.2014 12:00:00,86832,14501,186,30.8,24.4
18.10.2014 12:00:00,73674,12279,,,
19.10.2014 12:00:00,69040,11557,,,
20.10.2014 12:00:00,112439,18801,,,
21.10.2014 12:00:00,169103,28193,,,
22.10.2014 12:00:00,158983,26641,,,
23.10.2014 12:00:00,103013,17172,162,27.5,19.3
24.10.2014 12:00:00,91943,15445,,,
25.10.2014 12:00:00,91002,15158,,,
26.10.2014 12:00:00,80198,13453,148,27.6,21.6
27.10.2014 12:00:00,81868,13705,,,
28.10.2014 12:00:00,80065,13423,,,
29.10.2014 12:00:00,76570,12772,,,
30.10.2014 12:00:00,74849,12496,,,
31.10.2014 12:00:00,73796,12347,225,40.5,30
01.11.2014 12:00:00,67648,11274,,,
02.11.2014 12:00:00,65692,10957,,,
03.11.2014 12:00:00,74607,12481,,,
04.11.2014 12:00:00,76878,12909,,,
05.11.2014 12:00:00,190372,32595,,,
06.11.2014 12:00:00,155028,26483,148,19.4,13
07.11.2014 12:00:00,103716,17436,,,
08.11.2014 12:00:00,87231,14786,,,
09.11.2014 12:00:00,80269,13702,,,
10.11.2014 12:00:00,85510,14582,209,29.4,24.1
11.11.2014 12:00:00,82087,13458,,,
12.11.2014 12:00:00,136011,22774,,,
13.11.2014 12:00:00,109430,18497,,,
14.11.2014 12:00:00,93709,15887,,,
15.11.2014 12:00:00,141081,23673,123,21.8,15.9
16.11.2014 12:00:00,160283,26709,,,
17.11.2014 12:00:00,144445,23987,,,
18.11.2014 12:00:00,115332,19282,154,25.9,18.8
19.11.2014 12:00:00,99132,16805,,,
20.11.2014 12:00:00,92186,15514,,,
21.11.2014 12:00:00,88011,14982,,,
22.11.2014 12:00:00,81945,13877,,,
23.11.2014 12:00:00,77222,13161,,,
24.11.2014 12:00:00,80315,13504,,,
25.11.2014 12:00:00,77916,13264,216,40.3,31.9
26.11.2014 12:00:00,76542,12879,,,
27.11.2014 12:00:00,75275,12729,,,
28.11.2014 12:00:00,73779,12553,,,
29.11.2014 12:00:00,69371,11729,,,
30.11.2014 12:00:00,66896,11180,,,
01.12.2014 12:00:00,73092,12353,274,40.8,36
02.12.2014 12:00:00,69137,11509,,,
03.12.2014 12:00:00,68430,11652,,,
04.12.2014 12:00:00,69217,11675,,,
05.12.2014 12:00:00,68477,11466,224,40.8,32.8
06.12.2014 12:00:00,65571,10980,,,
07.12.2014 12:00:00,61375,10218,,,
08.12.2014 12:00:00,72654,12117,,,
09.12.2014 12:00:00,93949,15679,,,
10.12.2014 12:00:00,75665,12734,231,38.7,33.3
11.12.2014 12:00:00,70518,11819,,,
12.12.2014 12:00:00,69585,11674,,,
13.12.2014 12:00:00,64120,10723,,,
14.12.2014 12:00:00,61402,10308,,,
15.12.2014 12:00:00,65675,11048,,,
16.12.2014 12:00:00,90839,15334,,,
17.12.2014 12:00:00,113480,19098,207,30.3,23.2
18.12.2014 12:00:00,103570,17388,,,
19.12.2014 12:00:00,93125,15642,,,
20.12.2014 12:00:00,74771,12623,201,35.6,29.1
21.12.2014 12:00:00,67035,11239,,,
22.12.2014 12:00:00,71607,11988,,,
23.12.2014 12:00:00,68755,11457,,,
24.12.2014 12:00:00,66009,11058,,,
25.12.2014 12:00:00,65761,11039,,,
26.12.2014 12:00:00,61471,10241,,,
27.12.2014 12:00:00,108753,18230,,,
28.12.2014 12:00:00,72621,12125,,,
29.12.2014 12:00:00,69773,11658,276,39.9,30
30.12.2014 12:00:00,74572,12530,,,
31.12.2014 12:00:00,79043,13204,,,
